7848	28839
125	0	0.0012953367875647669
2380	0	0.0003255870741931545
945	1	0.0011305822498586771
1111	1	0.0004562043795620438
1745	1	0.0007344840249724568
2380	1	0.00036628545846729884
4296	1	0.002109704641350211
125	2	0.0006476683937823834
376	2	0.000505050505050505
1111	2	0.0009124087591240876
1487	2	0.0023752969121140144
1745	2	0.0007344840249724568
2380	2	0.0005290789955638761
3237	2	0.0033422459893048127
2380	3	0.0003255870741931545
376	4	0.000505050505050505
528	4	0.0009644364074743822
2380	4	4.0698384274144313e-05
3237	4	0.00033422459893048126
125	5	0.0006476683937823834
2380	5	0.00012209515282243295
1111	6	0.0004562043795620438
1745	6	0.0011017260374586854
2380	6	8.139676854828863e-05
3237	6	0.0006684491978609625
1111	7	0.0009124087591240876
1487	7	0.0023752969121140144
1745	7	0.0007344840249724568
1487	8	0.0023752969121140144
1745	8	0.0003672420124862284
2380	8	4.0698384274144313e-05
3237	8	0.0006684491978609625
125	9	0.0012953367875647669
945	9	0.0002826455624646693
3000	9	0.002136752136752137
7710	9	0.00014963339817447254
945	10	0.0005652911249293386
2380	10	4.0698384274144313e-05
7710	10	0.00014963339817447254
125	11	0.0006476683937823834
2380	11	0.0004883806112897318
3237	11	0.00033422459893048126
125	12	0.0003238341968911917
376	12	0.000505050505050505
3237	12	0.0016711229946524064
125	13	0.0003238341968911917
376	13	0.000505050505050505
1111	13	0.0004562043795620438
2380	13	4.0698384274144313e-05
3237	13	0.001336898395721925
125	14	0.0003238341968911917
945	14	0.0002826455624646693
2380	14	0.00016279353709657725
376	15	0.000505050505050505
528	15	0.00024110910186859555
7710	15	0.0008978003890468353
376	16	0.00101010101010101
945	16	0.0005652911249293386
2380	16	8.139676854828863e-05
3237	16	0.00033422459893048126
2380	17	0.0002034919213707216
125	18	0.0022668393782383418
376	18	0.00404040404040404
2380	18	4.0698384274144313e-05
3237	18	0.0006684491978609625
4296	18	0.002109704641350211
528	19	0.0006027727546714888
3237	19	0.0006684491978609625
125	20	0.0006476683937823834
376	20	0.0025252525252525255
945	20	0.0002826455624646693
2380	20	0.0004069838427414432
3237	20	0.001002673796791444
7710	20	0.00014963339817447254
125	21	0.0003238341968911917
376	21	0.000505050505050505
528	21	0.00024110910186859555
945	21	0.0005652911249293386
2380	21	0.0004883806112897318
3237	21	0.0006684491978609625
7710	21	0.0008978003890468353
1745	22	0.0003672420124862284
2380	22	0.00012209515282243295
3000	22	0.002136752136752137
3237	22	0.0016711229946524064
125	23	0.0016191709844559584
376	23	0.000505050505050505
1487	23	0.0023752969121140144
2380	23	0.0004883806112897318
3237	23	0.001336898395721925
7710	23	0.00014963339817447254
125	24	0.0003238341968911917
528	24	0.0004822182037371911
2380	24	0.00012209515282243295
1111	25	0.0004562043795620438
1487	25	0.0023752969121140144
2380	25	0.00028488868991901023
2380	26	4.0698384274144313e-05
3237	26	0.001336898395721925
125	27	0.0019430051813471502
376	27	0.00101010101010101
528	27	0.00024110910186859555
945	27	0.0002826455624646693
1111	27	0.0009124087591240876
1745	27	0.0003672420124862284
2380	27	0.0002034919213707216
3237	27	0.001336898395721925
7710	27	0.0008978003890468353
125	28	0.0003238341968911917
2380	28	8.139676854828863e-05
3237	28	0.0006684491978609625
1111	29	0.0004562043795620438
1745	29	0.0011017260374586854
2380	29	4.0698384274144313e-05
376	30	0.0065656565656565654
125	31	0.0012953367875647669
945	31	0.0005652911249293386
1111	31	0.0009124087591240876
1745	31	0.0003672420124862284
2380	31	0.00036628545846729884
3000	31	0.002136752136752137
3237	31	0.001336898395721925
7710	31	0.00014963339817447254
125	32	0.0009715025906735751
528	32	0.0007233273056057866
1487	33	0.0023752969121140144
2380	33	0.0002441903056448659
125	34	0.0009715025906735751
528	34	0.00012055455093429777
945	34	0.0011305822498586771
1111	34	0.0009124087591240876
1487	34	0.0023752969121140144
1745	34	0.0014689680499449136
2380	34	0.0015872369866916283
3000	34	0.008547008547008548
3237	34	0.001002673796791444
376	35	0.000505050505050505
1901	35	0.009146341463414634
4296	35	0.002109704641350211
3237	36	0.0016711229946524064
125	37	0.0006476683937823834
945	37	0.0002826455624646693
1978	37	0.010526315789473684
2380	37	0.0002441903056448659
3000	37	0.002136752136752137
3237	38	0.002005347593582888
125	40	0.0012953367875647669
376	40	0.0015151515151515152
528	40	0.0003616636528028933
1111	40	0.0004562043795620438
1745	40	0.0003672420124862284
2380	40	0.00012209515282243295
3237	40	0.002005347593582888
1487	41	0.0023752969121140144
2380	41	0.0002034919213707216
4296	41	0.002109704641350211
2380	42	0.00016279353709657725
4296	42	0.008438818565400843
125	43	0.003562176165803109
2380	43	0.0002034919213707216
125	44	0.0003238341968911917
2380	44	0.00012209515282243295
3000	44	0.002136752136752137
3237	44	0.0006684491978609625
1745	45	0.00697759823723834
2380	45	4.0698384274144313e-05
3237	45	0.0006684491978609625
3237	46	0.0033422459893048127
125	47	0.0009715025906735751
2380	47	8.139676854828863e-05
3237	47	0.0006684491978609625
125	48	0.0003238341968911917
528	48	0.0008438818565400844
2380	48	8.139676854828863e-05
125	49	0.0003238341968911917
528	49	0.0024110910186859553
2380	49	0.000651174148386309
2380	50	4.0698384274144313e-05
3237	50	0.001336898395721925
1745	51	0.0007344840249724568
3237	51	0.0016711229946524064
125	52	0.0006476683937823834
528	52	0.00024110910186859555
2380	52	0.0002034919213707216
125	53	0.0003238341968911917
3237	53	0.002005347593582888
4296	53	0.014767932489451477
376	54	0.0035353535353535356
1978	54	0.010526315789473684
2380	54	4.0698384274144313e-05
3237	54	0.0066844919786096255
125	55	0.0003238341968911917
528	55	0.0004822182037371911
3237	55	0.00033422459893048126
7710	55	0.0002992667963489451
528	56	0.0003616636528028933
2380	57	4.0698384274144313e-05
3237	57	0.002339572192513369
4296	57	0.006329113924050633
1745	58	0.001836210062431142
125	59	0.0006476683937823834
376	59	0.00101010101010101
2380	59	8.139676854828863e-05
3237	59	0.01036096256684492
4296	59	0.008438818565400843
7710	59	0.00014963339817447254
125	60	0.0006476683937823834
945	60	0.0002826455624646693
2380	60	0.0002034919213707216
3237	60	0.0006684491978609625
125	61	0.0029145077720207253
