7848	28839
125	0	0.0012919896640826874
2380	0	0.0003255340793489318
945	1	0.001126443255421008
1111	1	0.0004528985507246377
1745	1	0.0007304601899196494
2380	1	0.0003661662394727206
4296	1	0.0020408163265306124
125	2	0.0006416426050689766
376	2	0.0004975124378109452
1111	2	0.0009004952723998199
1487	2	0.0022172949002217295
1745	2	0.0007267441860465116
2380	2	0.0005286916914067265
3237	2	0.003318951211417192
2380	3	0.0003255870741931545
376	4	0.0005025125628140704
528	4	0.0009640877319836105
2380	4	4.068182742768805e-05
3237	4	0.00033311125916055963
125	5	0.0006470397929472663
2380	5	0.00012208521548040532
1111	6	0.00045475216007276033
1745	6	0.0010997067448680353
2380	6	8.137689709891362e-05
3237	6	0.00066711140760507
1111	7	0.0009111617312072893
1487	7	0.002352941176470588
1745	7	0.0007336757153338225
1487	8	0.002352941176470588
1745	8	0.0003667033370003667
2380	8	4.069175991861648e-05
3237	8	0.000667779632721202
125	9	0.0012940795858945326
945	9	0.0002821670428893905
3000	9	0.002109704641350211
7710	9	0.00014949917775452235
945	10	0.0005644933672029354
2380	10	4.068844854945681e-05
7710	10	0.00014949917775452235
125	11	0.0006449532408900354
2380	11	0.0004883209896638724
3237	11	0.00033266799733865603
125	12	0.0003232062055591467
376	12	0.0005035246727089627
3237	12	0.0016700066800267202
125	13	0.00032310177705977385
376	13	0.0005032712632108706
1111	13	0.00045475216007276033
2380	13	4.068679306697046e-05
3237	13	0.0013351134846461949
125	14	0.00032331070158422246
945	14	0.0002822466836014677
2380	14	0.0001627802873072071
376	15	0.0005030181086519115
528	15	0.0002409058058299205
7710	15	0.0008973975471133712
376	16	0.0010075566750629723
945	16	0.0005644933672029354
2380	16	8.138020833333333e-05
3237	16	0.000333555703802535
2380	17	0.0002034919213707216
125	18	0.0022580645161290325
376	18	0.004018081366147665
2380	18	4.0668591646671275e-05
3237	18	0.0006646726487205051
4296	18	0.0020325203252032522
528	19	0.0006025548324897565
3237	19	0.00066711140760507
125	20	0.0006422607578676942
376	20	0.0024962556165751375
945	20	0.00028050490883590464
2380	20	0.00040668591646671274
3237	20	0.0009943652635067948
7710	20	0.00014903129657228018
125	21	0.00032123353678124
376	21	0.0004987531172069825
528	21	0.00024041351123933166
945	21	0.0005614823133071309
2380	21	0.0004881025015253203
3237	21	0.000663129973474801
7710	21	0.0008951215873489483
1745	22	0.00036603221083455345
2380	22	0.00012206037920091139
3000	22	0.0020964360587002098
3237	22	0.001668335001668335
125	23	0.0016092693916961698
376	23	0.0004992511233150275
1487	23	0.0022522522522522522
2380	23	0.00048814221209779116
3237	23	0.0013280212483399733
7710	23	0.00014912019087384433
125	24	0.00032310177705977385
528	24	0.0004819857814194481
2380	24	0.0001220703125
1111	25	0.00045454545454545455
1487	25	0.002331002331002331
2380	25	0.0002848655027876124
2380	26	4.069175991861648e-05
3237	26	0.0013364517206815904
125	27	0.0019286403085824494
376	27	0.000996512207274539
528	27	0.0002403268445085316
945	27	0.00028042624789680314
1111	27	0.0009013068949977468
1745	27	0.0003635041802980734
2380	27	0.00020329335230737954
3237	27	0.001325820351342393
7710	27	0.000894721145243066
125	28	0.0003234152652005175
2380	28	8.13868316106454e-05
3237	28	0.000667779632721202
1111	29	0.00045495905368516835
1745	29	0.0011001100110011
2380	29	4.068844854945681e-05
376	30	0.0065656565656565654
125	31	0.001287001287001287
945	31	0.0005617977528089888
1111	31	0.0009033423667570009
1745	31	0.0003641660597232338
2380	31	0.00036606198649638007
3000	31	0.002036659877800407
3237	31	0.0013280212483399733
7710	31	0.00014912019087384433
125	32	0.0009693053311793214
528	32	0.0007229786721291722
1487	33	0.00234192037470726
2380	33	0.00024418036789842097
125	34	0.0009457755359394704
528	34	0.00011931750387781887
945	34	0.0011046672190002762
1111	34	0.000878348704435661
1487	34	0.0019723865877712033
1745	34	0.0014255167498218105
2380	34	0.001584142329095414
3000	34	0.007259528130671506
3237	34	0.0009752925877763329
376	35	0.0005027652086475615
1901	35	0.008955223880597015
4296	35	0.002070393374741201
3237	36	0.0016711229946524064
125	37	0.0006457862447529867
945	37	0.0002818489289740699
1978	37	0.009523809523809525
2380	37	0.000244140625
3000	37	0.0020920502092050207
3237	38	0.0020046775810223854
125	40	0.0012882447665056361
376	40	0.0015015015015015015
528	40	0.00036088054853843375
1111	40	0.0004520795660036166
1745	40	0.0003645643456069996
2380	40	0.00012200577494001383
3237	40	0.0019953441968739607
1487	41	0.00234192037470726
2380	41	0.00020347535913400888
4296	41	0.0020833333333333333
2380	42	0.0001627670396744659
4296	42	0.008368200836820083
125	43	0.003556417717426447
2380	43	0.00020340086241965667
125	44	0.0003232062055591467
2380	44	0.00012207527975584945
3000	44	0.002109704641350211
3237	44	0.000667334000667334
1745	45	0.006969919295671314
2380	45	4.066363044892648e-05
3237	45	0.0006640106241699867
3237	46	0.0033422459893048127
125	47	0.0009702457956015524
2380	47	8.138020833333333e-05
3237	47	0.000667334000667334
125	48	0.00032289312237649337
528	48	0.0008435767654856592
2380	48	8.137027543838236e-05
125	49	0.0003201024327784891
528	49	0.002406159769008662
2380	49	0.0006506180871828237
2380	50	4.069175991861648e-05
3237	50	0.0013364517206815904
1745	51	0.0007331378299120235
3237	51	0.0016700066800267202
125	52	0.0006462035541195477
528	52	0.0002409058058299205
2380	52	0.0002034587995930824
125	53	0.0003224766204450177
3237	53	0.002
4296	53	0.014553014553014554
376	54	0.0034965034965034965
1978	54	0.008130081300813009
2380	54	4.0652059026789705e-05
3237	54	0.006664445184938354
125	55	0.00032310177705977385
528	55	0.0004819857814194481
3237	55	0.00033344448149383126
7710	55	0.0002989983555090447
528	56	0.0003615764734241292
2380	57	4.068182742768805e-05
3237	57	0.002336448598130841
4296	57	0.006224066390041493
1745	58	0.001836210062431142
125	59	0.0006393861892583121
376	59	0.0009900990099009901
2380	59	8.126447523465118e-05
3237	59	0.010323010323010324
4296	59	0.0078125
7710	59	0.000148720999405116
125	60	0.0006459948320413437
945	60	0.000281928390188892
2380	60	0.00020345052083333334
3237	60	0.0006666666666666666
125	61	0.0029145077720207253
125	62	0.0003232062055591467
945	62	0.0002821670428893905
1111	62	0.00045495905368516835
1487	62	0.00234192037470726
3237	62	0.0010013351134846463
376	63	0.0005012531328320802
945	63	0.0005630630630630631
1111	63	0.00045310376076121433
1745	63	0.0003652300949598247
2380	63	0.00020340086241965667
3237	63	0.0013315579227696406
7710	63	0.00029864118261908315
1901	64	0.01524390243902439
3237	65	0.002339572192513369
125	66	0.0006470397929472663
2380	66	8.13868316106454e-05
945	68	0.0002820078962210942
1745	68	0.0018335166850018336
3237	68	0.0010006671114076052
3237	69	0.0003337783711615487
4296	69	0.008421052631578947
1487	70	0.0022522522522522522
1745	70	0.003287070854638422
1487	71	0.002331002331002331
1745	71	0.0003661662394727206
2380	71	0.00012206534564837043
125	72	0.001273074474856779
945	72	0.0030683403068340305
1111	72	0.0017809439002671415
1487	72	0.010548523206751054
1745	72	0.002162162162162162
2380	72	0.0001218224640623731
3000	72	0.0019047619047619048
3237	72	0.0013131976362442547
376	73	0.005050505050505051
528	74	0.0006024096385542169
2380	74	4.068348250610252e-05
7710	74	0.0005979967110180894
125	75	0.0006457862447529867
376	75	0.0005025125628140704
3000	75	0.0020920502092050207
3237	75	0.002002002002002002
4296	75	0.002066115702479339
125	77	0.0012944983818770227
2380	77	4.0690104166666664e-05
3237	77	0.000333667000333667
2380	78	0.0004069838427414432
125	79	0.00032310177705977385
528	79	0.00012045290291496025
945	79	0.00028208744710860365
2380	79	0.0001627670396744659
3237	79	0.00033344448149383126
125	80	0.00032216494845360824
528	80	0.0010839455618451162
2878	80	0.001152073732718894
3237	80	0.001998001998001998
125	81	0.0003234152652005175
1111	81	0.0004553734061930783
2380	81	4.069175991861648e-05
1745	82	0.0014571948998178506
2380	82	0.0008137689709891362
125	83	0.0006455777921239509
2380	83	0.00016274055087676473
3237	83	0.0016672224074691564
7840	83	0.00980392156862745
125	84	0.00032331070158422246
2380	84	0.0001220802474159681
