7848	28839
125	0	0.3333333333333333
2380	0	0.6666666666666666
945	1	0.23529411764705882
1111	1	0.058823529411764705
1745	1	0.11764705882352941
2380	1	0.5294117647058824
4296	1	0.058823529411764705
125	2	0.06451612903225806
376	2	0.03225806451612903
1111	2	0.06451612903225806
1487	2	0.03225806451612903
1745	2	0.06451612903225806
2380	2	0.41935483870967744
3237	2	0.3225806451612903
2380	3	1.0
376	4	0.09090909090909091
528	4	0.7272727272727273
2380	4	0.09090909090909091
3237	4	0.09090909090909091
125	5	0.4
2380	5	0.6
1111	6	0.125
1745	6	0.375
2380	6	0.25
3237	6	0.25
1111	7	0.4
1487	7	0.2
1745	7	0.4
1487	8	0.2
1745	8	0.2
2380	8	0.2
3237	8	0.4
125	9	0.5714285714285714
945	9	0.14285714285714285
3000	9	0.14285714285714285
7710	9	0.14285714285714285
945	10	0.5
2380	10	0.25
7710	10	0.25
125	11	0.13333333333333333
2380	11	0.8
3237	11	0.06666666666666667
125	12	0.14285714285714285
376	12	0.14285714285714285
3237	12	0.7142857142857143
125	13	0.125
376	13	0.125
1111	13	0.125
2380	13	0.125
3237	13	0.5
125	14	0.16666666666666666
945	14	0.16666666666666666
2380	14	0.6666666666666666
376	15	0.1111111111111111
528	15	0.2222222222222222
7710	15	0.6666666666666666
376	16	0.2857142857142857
945	16	0.2857142857142857
2380	16	0.2857142857142857
3237	16	0.14285714285714285
2380	17	1.0
125	18	0.3684210526315789
376	18	0.42105263157894735
2380	18	0.05263157894736842
3237	18	0.10526315789473684
4296	18	0.05263157894736842
528	19	0.7142857142857143
3237	19	0.2857142857142857
125	20	0.09090909090909091
376	20	0.22727272727272727
945	20	0.045454545454545456
2380	20	0.45454545454545453
3237	20	0.13636363636363635
7710	20	0.045454545454545456
125	21	0.038461538461538464
376	21	0.038461538461538464
528	21	0.07692307692307693
945	21	0.07692307692307693
2380	21	0.46153846153846156
3237	21	0.07692307692307693
7710	21	0.23076923076923078
1745	22	0.1
2380	22	0.3
3000	22	0.1
3237	22	0.5
125	23	0.20833333333333334
376	23	0.041666666666666664
1487	23	0.041666666666666664
2380	23	0.5
3237	23	0.16666666666666666
7710	23	0.041666666666666664
125	24	0.125
528	24	0.5
2380	24	0.375
1111	25	0.1111111111111111
1487	25	0.1111111111111111
2380	25	0.7777777777777778
2380	26	0.2
3237	26	0.8
125	27	0.20689655172413793
376	27	0.06896551724137931
528	27	0.06896551724137931
945	27	0.034482758620689655
1111	27	0.06896551724137931
1745	27	0.034482758620689655
2380	27	0.1724137931034483
3237	27	0.13793103448275862
7710	27	0.20689655172413793
125	28	0.2
2380	28	0.4
3237	28	0.4
1111	29	0.2
1745	29	0.6
2380	29	0.2
376	30	1.0
125	31	0.16666666666666666
945	31	0.08333333333333333
1111	31	0.08333333333333333
1745	31	0.041666666666666664
2380	31	0.375
3000	31	0.041666666666666664
3237	31	0.16666666666666666
7710	31	0.041666666666666664
125	32	0.3333333333333333
528	32	0.6666666666666666
1487	33	0.14285714285714285
2380	33	0.8571428571428571
125	34	0.04918032786885246
528	34	0.01639344262295082
945	34	0.06557377049180328
1111	34	0.03278688524590164
1487	34	0.01639344262295082
1745	34	0.06557377049180328
2380	34	0.639344262295082
3000	34	0.06557377049180328
3237	34	0.04918032786885246
376	35	0.2
1901	35	0.6
4296	35	0.2
3237	36	1.0
125	37	0.18181818181818182
945	37	0.09090909090909091
1978	37	0.09090909090909091
2380	37	0.5454545454545454
3000	37	0.09090909090909091
3237	38	1.0
125	40	0.19047619047619047
376	40	0.14285714285714285
528	40	0.14285714285714285
1111	40	0.047619047619047616
1745	40	0.047619047619047616
2380	40	0.14285714285714285
3237	40	0.2857142857142857
1487	41	0.14285714285714285
2380	41	0.7142857142857143
4296	41	0.14285714285714285
2380	42	0.5
4296	42	0.5
125	43	0.6875
2380	43	0.3125
125	44	0.14285714285714285
2380	44	0.42857142857142855
3000	44	0.14285714285714285
3237	44	0.2857142857142857
1745	45	0.8636363636363636
2380	45	0.045454545454545456
3237	45	0.09090909090909091
3237	46	1.0
125	47	0.42857142857142855
2380	47	0.2857142857142857
3237	47	0.2857142857142857
125	48	0.1
528	48	0.7
2380	48	0.2
125	49	0.02702702702702703
528	49	0.5405405405405406
2380	49	0.43243243243243246
2380	50	0.2
3237	50	0.8
1745	51	0.2857142857142857
3237	51	0.7142857142857143
125	52	0.2222222222222222
528	52	0.2222222222222222
2380	52	0.5555555555555556
125	53	0.07142857142857142
3237	53	0.42857142857142855
4296	53	0.5
376	54	0.2413793103448276
1978	54	0.034482758620689655
2380	54	0.034482758620689655
3237	54	0.6896551724137931
125	55	0.125
528	55	0.5
3237	55	0.125
7710	55	0.25
528	56	1.0
2380	57	0.09090909090909091
3237	57	0.6363636363636364
4296	57	0.2727272727272727
1745	58	1.0
125	59	0.047619047619047616
376	59	0.047619047619047616
2380	59	0.047619047619047616
3237	59	0.7380952380952381
4296	59	0.09523809523809523
7710	59	0.023809523809523808
125	60	0.2
945	60	0.1
2380	60	0.5
3237	60	0.2
125	61	1.0
125	62	0.14285714285714285
945	62	0.14285714285714285
1111	62	0.14285714285714285
1487	62	0.14285714285714285
3237	62	0.42857142857142855
376	63	0.0625
945	63	0.125
1111	63	0.0625
1745	63	0.0625
2380	63	0.3125
3237	63	0.25
7710	63	0.125
1901	64	1.0
3237	65	1.0
125	66	0.5
2380	66	0.5
945	68	0.1111111111111111
1745	68	0.5555555555555556
3237	68	0.3333333333333333
3237	69	0.2
4296	69	0.8
1487	70	0.1
1745	70	0.9
1487	71	0.2
1745	71	0.2
2380	71	0.6
125	72	0.10526315789473684
945	72	0.2894736842105263
1111	72	0.10526315789473684
1487	72	0.13157894736842105
1745	72	0.15789473684210525
2380	72	0.07894736842105263
3000	72	0.02631578947368421
3237	72	0.10526315789473684
376	73	1.0
528	74	0.5
2380	74	0.1
7710	74	0.4
125	75	0.18181818181818182
376	75	0.09090909090909091
3000	75	0.09090909090909091
3237	75	0.5454545454545454
4296	75	0.09090909090909091
125	77	0.6666666666666666
2380	77	0.16666666666666666
3237	77	0.16666666666666666
2380	78	1.0
125	79	0.125
528	79	0.125
945	79	0.125
2380	79	0.5
3237	79	0.125
125	80	0.058823529411764705
528	80	0.5294117647058824
2878	80	0.058823529411764705
3237	80	0.35294117647058826
125	81	0.3333333333333333
1111	81	0.3333333333333333
2380	81	0.3333333333333333
1745	82	0.16666666666666666
2380	82	0.8333333333333334
125	83	0.16666666666666666
2380	83	0.3333333333333333
3237	83	0.4166666666666667
7840	83	0.08333333333333333
125	84	0.16666666666666666
2380	84	0.5
3237	84	0.3333333333333333
125	85	0.21052631578947367
1111	85	0.05263157894736842
2380	85	0.21052631578947367
3237	85	0.5263157894736842
125	86	0.2857142857142857
1745	86	0.14285714285714285
2380	86	0.2857142857142857
3000	86	0.14285714285714285
3237	86	0.14285714285714285
376	87	0.1
945	87	0.1
1111	87	0.2
1487	87	0.3
2380	87	0.2
3237	87	0.1
1745	88	0.125
3000	88	0.125
3237	88	0.75
7710	89	1.0
125	90	0.2857142857142857
