5636	31826
300	0	0.024691358024691357
886	0	0.043478260869565216
1313	0	0.047619047619047616
3534	0	0.15384615384615385
4936	0	0.01639344262295082
5467	0	0.002777777777777778
325	1	0.2
361	1	0.012658227848101266
365	1	0.01
885	1	0.02702702702702703
1352	1	0.09090909090909091
1510	1	0.03571428571428571
1674	1	0.03571428571428571
1710	1	0.006289308176100629
1731	1	0.1
2482	1	0.05
3967	1	0.07142857142857142
4084	1	0.034482758620689655
5084	1	0.4
5591	1	0.14285714285714285
2233	2	0.01818181818181818
5058	2	0.050359712230215826
1419	4	0.075
4222	4	0.16666666666666666
128	5	0.02857142857142857
253	5	0.058823529411764705
1803	5	0.16666666666666666
2456	5	0.1
4017	5	0.1
365	6	0.02
716	6	0.047619047619047616
1131	6	0.07142857142857142
1352	6	0.09090909090909091
1613	6	0.125
1674	6	0.03571428571428571
2382	6	0.015625
4244	6	0.047619047619047616
4335	6	0.024390243902439025
4429	6	0.021739130434782608
5038	6	0.125
2460	7	0.08333333333333333
3415	7	0.043478260869565216
3818	8	0.017543859649122806
4335	8	0.04878048780487805
5058	9	0.11510791366906475
1285	10	0.043478260869565216
2246	10	0.05
3956	10	0.015625
2702	11	0.03571428571428571
3730	11	0.0125
4991	11	0.0125
5001	11	0.09090909090909091
5467	11	0.002777777777777778
649	12	0.125
1064	12	0.006756756756756757
2639	12	0.037037037037037035
4001	12	0.01098901098901099
5617	12	0.1
3863	13	0.028985507246376812
5135	13	0.013888888888888888
469	14	0.038461538461538464
885	14	0.02702702702702703
1352	14	0.09090909090909091
1731	14	0.1
3967	14	0.03571428571428571
282	15	0.08333333333333333
1009	15	0.07142857142857142
1334	15	0.03333333333333333
1674	15	0.017857142857142856
4184	15	0.016129032258064516
4522	15	0.06666666666666667
4765	15	0.058823529411764705
1461	16	0.075
2003	16	0.16666666666666666
2477	16	0.07317073170731707
2513	16	0.019230769230769232
4293	16	0.021739130434782608
365	17	0.01
794	17	0.02702702702702703
937	17	0.02564102564102564
1131	17	0.07142857142857142
2185	17	0.1111111111111111
3415	17	0.043478260869565216
5084	17	0.2
5592	17	0.09090909090909091
1076	18	0.4
2421	18	0.028985507246376812
3885	18	0.14285714285714285
5005	18	0.5
2323	19	0.07142857142857142
3179	19	0.025
3396	19	0.010526315789473684
147	20	0.2
300	20	0.024691358024691357
408	20	0.125
451	20	0.16666666666666666
634	20	0.02702702702702703
1337	20	0.023255813953488372
1706	20	0.1111111111111111
1716	20	0.07142857142857142
1948	20	0.1
2771	20	0.045454545454545456
3121	20	0.020833333333333332
3189	20	0.2
3646	20	0.02857142857142857
4018	20	0.3
4208	20	0.2
4293	20	0.021739130434782608
4570	20	0.125
5194	20	0.02702702702702703
5566	20	0.5
5589	20	0.16666666666666666
3877	21	0.07692307692307693
5467	21	0.011111111111111112
789	22	0.05
2058	22	0.02857142857142857
2059	22	0.03225806451612903
2512	22	0.025
2534	22	0.008130081300813009
2941	22	0.15384615384615385
4383	22	0.16666666666666666
5467	22	0.002777777777777778
1915	23	0.0010559662090813093
2210	23	0.14285714285714285
4163	23	0.0026246719160104987
4335	23	0.04878048780487805
1735	24	0.05263157894736842
4522	24	0.06666666666666667
1131	25	0.07142857142857142
2950	25	0.01
3967	25	0.03571428571428571
4918	25	0.05263157894736842
5516	25	0.02564102564102564
1419	26	0.0625
28	27	0.1724137931034483
1035	30	0.125
3378	30	0.08333333333333333
3493	30	0.17647058823529413
3956	30	0.026041666666666668
5267	30	0.023255813953488372
3509	31	0.038461538461538464
4335	31	0.024390243902439025
4985	31	0.16666666666666666
5327	31	0.01818181818181818
1419	32	0.0125
365	33	0.08
913	33	0.1111111111111111
1674	33	0.10714285714285714
1710	33	0.031446540880503145
5167	33	0.07407407407407407
249	34	0.06666666666666667
634	34	0.02702702702702703
2331	34	0.01282051282051282
3248	34	0.16666666666666666
3946	35	0.1
4457	35	0.1111111111111111
1419	36	0.0625
5115	37	0.011494252873563218
5196	37	0.012195121951219513
5559	37	0.0036231884057971015
3982	38	0.047619047619047616
22	39	0.09090909090909091
461	39	0.2
1461	39	0.025
2534	39	0.016260162601626018
3101	39	0.047619047619047616
4044	39	0.024390243902439025
4167	39	0.22727272727272727
4518	39	0.08571428571428572
787	40	0.022222222222222223
1419	40	0.0125
1674	40	0.017857142857142856
5516	40	0.02564102564102564
1782	41	0.2
