5636	31826
300	0	0.022727272727272728
886	0	0.03225806451612903
1313	0	0.04081632653061224
3534	0	0.1
4936	0	0.014492753623188406
5467	0	0.002717391304347826
325	1	0.037037037037037035
361	1	0.009900990099009901
365	1	0.00819672131147541
885	1	0.01694915254237288
1352	1	0.030303030303030304
1510	1	0.02
1674	1	0.025974025974025976
1710	1	0.0055248618784530384
1731	1	0.03125
2482	1	0.023809523809523808
3967	1	0.04081632653061224
4084	1	0.0196078431372549
5084	1	0.07692307692307693
5591	1	0.034482758620689655
2233	2	0.016129032258064516
5058	2	0.05
1419	4	0.07407407407407407
4222	4	0.08333333333333333
128	5	0.023255813953488372
253	5	0.04
1803	5	0.13793103448275862
2456	5	0.05555555555555555
4017	5	0.05555555555555555
365	6	0.017857142857142856
716	6	0.029411764705882353
1131	6	0.037037037037037035
1352	6	0.041666666666666664
1613	6	0.047619047619047616
1674	6	0.029411764705882353
2382	6	0.012987012987012988
4244	6	0.029411764705882353
4335	6	0.018518518518518517
4429	6	0.01694915254237288
5038	6	0.047619047619047616
2460	7	0.058823529411764705
3415	7	0.03571428571428571
3818	8	0.01639344262295082
4335	8	0.045454545454545456
5058	9	0.11510791366906475
1285	10	0.03333333333333333
2246	10	0.037037037037037035
3956	10	0.015228426395939087
2702	11	0.029411764705882353
3730	11	0.011627906976744186
4991	11	0.011627906976744186
5001	11	0.058823529411764705
5467	11	0.00273224043715847
649	12	0.07692307692307693
1064	12	0.006535947712418301
2639	12	0.03125
4001	12	0.010416666666666666
5617	12	0.06666666666666667
3863	13	0.019417475728155338
5135	13	0.009345794392523364
469	14	0.03225806451612903
885	14	0.023809523809523808
1352	14	0.0625
1731	14	0.06666666666666667
3967	14	0.030303030303030304
282	15	0.037037037037037035
1009	15	0.034482758620689655
1334	15	0.022222222222222223
1674	15	0.014084507042253521
4184	15	0.012987012987012988
4522	15	0.03333333333333333
4765	15	0.03125
1461	16	0.061224489795918366
2003	16	0.058823529411764705
2477	16	0.06
2513	16	0.015873015873015872
4293	16	0.017543859649122806
365	17	0.009345794392523364
794	17	0.022727272727272728
937	17	0.021739130434782608
1131	17	0.047619047619047616
2185	17	0.0625
3415	17	0.03333333333333333
5084	17	0.08333333333333333
5592	17	0.05555555555555555
1076	18	0.044444444444444446
2421	18	0.01834862385321101
3885	18	0.05
5005	18	0.3333333333333333
2323	19	0.05
3179	19	0.021739130434782608
3396	19	0.009900990099009901
147	20	0.011494252873563218
300	20	0.012345679012345678
408	20	0.011111111111111112
451	20	0.011363636363636364
634	20	0.008403361344537815
1337	20	0.008
1706	20	0.01098901098901099
1716	20	0.010416666666666666
1948	20	0.010869565217391304
2771	20	0.009615384615384616
3121	20	0.007692307692307693
3189	20	0.011494252873563218
3646	20	0.008547008547008548
4018	20	0.03333333333333333
4208	20	0.011494252873563218
4293	20	0.0078125
4570	20	0.011111111111111112
5194	20	0.008403361344537815
5566	20	0.03488372093023256
5589	20	0.011363636363636364
3877	21	0.038461538461538464
5467	21	0.010810810810810811
789	22	0.03333333333333333
2058	22	0.022222222222222223
2059	22	0.024390243902439025
2512	22	0.02
2534	22	0.007518796992481203
2941	22	0.12121212121212122
4383	22	0.0625
5467	22	0.002702702702702703
1915	23	0.0010460251046025104
2210	23	0.0625
4163	23	0.002564102564102564
4335	23	0.04081632653061224
1735	24	0.043478260869565216
4522	24	0.05263157894736842
1131	25	0.047619047619047616
2950	25	0.009345794392523364
3967	25	0.02857142857142857
4918	25	0.038461538461538464
5516	25	0.021739130434782608
1419	26	0.0625
28	27	0.15151515151515152
1035	30	0.05
3378	30	0.041666666666666664
3493	30	0.1111111111111111
3956	30	0.025
5267	30	0.01818181818181818
3509	31	0.03333333333333333
4335	31	0.022222222222222223
4985	31	0.1
5327	31	0.01694915254237288
1419	32	0.011764705882352941
365	33	0.07017543859649122
913	33	0.03333333333333333
1674	33	0.08333333333333333
1710	33	0.028409090909090908
5167	33	0.0425531914893617
249	34	0.02564102564102564
634	34	0.01639344262295082
2331	34	0.00980392156862745
3248	34	0.03333333333333333
3946	35	0.07142857142857142
4457	35	0.07692307692307693
1419	36	0.0625
5115	37	0.011235955056179775
5196	37	0.011494252873563218
5559	37	0.0035587188612099642
3982	38	0.04
22	39	0.038461538461538464
461	39	0.05
1461	39	0.01818181818181818
2534	39	0.014598540145985401
3101	39	0.027777777777777776
4044	39	0.017857142857142856
4167	39	0.15151515151515152
4518	39	0.0625
787	40	0.0196078431372549
1419	40	0.011627906976744186
1674	40	0.016129032258064516
5516	40	0.022222222222222223
1782	41	0.1111111111111111
3818	41	0.01639344262295082
4918	41	0.09090909090909091
4985	41	0.1
1419	42	0.0625
618	43	0.07142857142857142
920	43	0.05263157894736842
1064	43	0.00641025641025641
1070	43	0.06666666666666667
1674	43	0.015625
4335	43	0.02040816326530612
4918	43	0.037037037037037035
794	44	0.05
4335	44	0.022222222222222223
365	46	0.007936507936507936
654	46	0.02702702702702703
794	46	0.015873015873015872
1064	46	0.005747126436781609
1131	46	0.05128205128205128
1240	46	0.008
1782	46	0.03225806451612903
2816	46	0.023255813953488372
3509	46	0.019230769230769232
3580	46	0.03225806451612903
3967	46	0.018518518518518517
4184	46	0.011363636363636364
4429	46	0.013888888888888888
4846	46	0.02631578947368421
4890	46	0.030303030303030304
5038	46	0.029411764705882353
5516	46	0.015384615384615385
282	47	0.05555555555555555
1240	47	0.009523809523809525
2657	47	0.05555555555555555
3498	47	0.07692307692307693
4890	47	0.07692307692307693
812	48	0.1111111111111111
1919	48	0.013636363636363636
3768	48	0.0019646365422396855
2374	49	0.04938271604938271
469	50	0.02857142857142857
654	50	0.05
1064	50	0.006369426751592357
1240	50	0.009259259259259259
3967	50	0.02702702702702703
4163	50	0.002564102564102564
4176	50	0.041666666666666664
5327	50	0.015625
5516	50	0.020833333333333332
5058	51	0.04316546762589928
29	52	5.994844433786943e-05
515	52	0.011494252873563218
1171	52	0.006711409395973154
1349	52	0.004784688995215311
1419	52	0.01098901098901099
2998	52	0.0002482005460412013
4484	52	0.045454545454545456
800	53	0.0625
1419	53	0.023255813953488372
1674	53	0.015873015873015872
5327	53	0.016129032258064516
1101	54	0.03225806451612903
2657	54	0.0625
4335	54	0.022222222222222223
4505	54	0.06666666666666667
1182	55	0.18181818181818182
4406	55	0.043478260869565216
426	56	0.07142857142857142
1141	56	0.02564102564102564
5019	56	0.05
5026	56	0.07894736842105263
323	58	0.02631578947368421
716	58	0.02857142857142857
1198	58	0.03333333333333333
1334	58	0.022727272727272728
2452	58	0.030303030303030304
2639	58	0.024390243902439025
3179	58	0.018518518518518517
3195	58	0.030303030303030304
4335	58	0.01818181818181818
4846	58	0.038461538461538464
365	59	0.007936507936507936
996	59	0.08333333333333333
1211	59	0.027777777777777776
1334	59	0.017857142857142856
1419	59	0.08080808080808081
1488	59	0.05263157894736842
2111	59	0.06451612903225806
2452	59	0.012658227848101266
3260	59	0.015873015873015872
3493	59	0.023255813953488372
5007	59	0.023255813953488372
275	60	0.09090909090909091
1419	60	0.011904761904761904
1448	60	0.06666666666666667
2452	60	0.017543859649122806
4107	60	0.1111111111111111
933	61	0.037037037037037035
1765	61	0.08333333333333333
4335	61	0.021739130434782608
540	62	0.017857142857142856
2426	62	0.021739130434782608
4475	62	0.012048192771084338
5342	62	0.02127659574468085
2727	63	0.05555555555555555
2829	63	0.010638297872340425
1419	64	0.0625
4167	65	0.038461538461538464
5467	65	0.0110803324099723
19	66	0.015151515151515152
282	66	0.014084507042253521
365	66	0.006289308176100629
469	66	0.023809523809523808
937	66	0.03125
1198	66	0.013333333333333334
1240	66	0.006329113924050633
1296	66	0.010526315789473684
1334	66	0.011235955056179775
1510	66	0.011494252873563218
1674	66	0.008695652173913044
1803	66	0.012048192771084338
2010	66	0.01
2192	66	0.014492753623188406
2210	66	0.03076923076923077
2337	66	0.014084507042253521
2452	66	0.008928571428571428
2979	66	0.009900990099009901
3260	66	0.010416666666666666
3491	66	0.012658227848101266
3818	66	0.017391304347826087
3956	66	0.00398406374501992
3967	66	0.011494252873563218
4335	66	0.020202020202020204
4429	66	0.02912621359223301
4642	66	0.014285714285714285
4846	66	0.02857142857142857
4985	66	0.047619047619047616
5327	66	0.008771929824561403
5554	66	0.015384615384615385
5591	66	0.015151515151515152
327	67	0.06666666666666667
1419	67	0.08433734939759036
325	70	0.043478260869565216
365	70	0.017094017094017096
469	70	0.022727272727272728
920	70	0.034482758620689655
1011	70	0.03333333333333333
1419	70	0.03125
2452	70	0.014084507042253521
2460	70	0.03333333333333333
4244	70	0.02564102564102564
4335	70	0.01694915254237288
4424	70	0.03225806451612903
5439	70	0.002717391304347826
2504	71	0.037037037037037035
3952	71	0.17391304347826086
3981	71	0.023255813953488372
4251	71	0.038461538461538464
282	72	0.0625
1674	72	0.016666666666666666
3179	72	0.022727272727272728
1240	73	0.009615384615384616
4335	73	0.021739130434782608
4429	73	0.0196078431372549
4765	73	0.045454545454545456
5543	73	0.1
19	74	0.09090909090909091
1731	74	0.07142857142857142
2267	74	0.03125
2888	74	0.0625
4244	74	0.04
1064	75	0.006578947368421052
1070	75	0.09090909090909091
1419	75	0.011904761904761904
469	77	0.022727272727272728
1198	77	0.029411764705882353
1240	77	0.008547008547008548
1334	77	0.020833333333333332
1352	77	0.034482758620689655
1674	77	0.013513513513513514
2657	77	0.03333333333333333
3818	77	0.013333333333333334
4163	77	0.002506265664160401
4765	77	0.02857142857142857
4933	77	0.0001142204454597373
937	78	0.07317073170731707
2221	78	0.034482758620689655
365	79	0.009523809523809525
2185	79	0.07142857142857142
4244	79	0.038461538461538464
4335	79	0.021739130434782608
4545	80	0.5714285714285714
617	81	0.022988505747126436
3183	81	0.045454545454545456
3958	81	0.03125
4404	81	0.023809523809523808
938	82	0.015873015873015872
2052	82	0.0196078431372549
2812	82	0.09375
325	83	0.1
2944	84	0.15789473684210525
365	85	0.00847457627118644
1131	85	0.03125
1205	85	0.0136986301369863
1334	85	0.020833333333333332
1419	85	0.01020408163265306
1507	85	0.046511627906976744
1548	85	0.011627906976744186
2382	85	0.012195121951219513
2431	85	0.025
2452	85	0.014084507042253521
2888	85	0.03333333333333333
3396	85	0.008849557522123894
4179	85	0.015873015873015872
4335	85	0.01694915254237288
4424	85	0.06666666666666667
253	86	0.08695652173913043
939	86	0.03225806451612903
1419	86	0.011494252873563218
1858	86	0.06896551724137931
2979	86	0.02040816326530612
4008	86	0.0625
274	87	0.01818181818181818
282	87	0.01694915254237288
436	87	0.01818181818181818
794	87	0.011904761904761904
865	87	0.018518518518518517
997	87	0.017857142857142856
1064	87	0.005128205128205128
1236	87	0.015873015873015872
1334	87	0.02631578947368421
1352	87	0.03508771929824561
1419	87	0.007874015748031496
1507	87	0.0136986301369863
1674	87	0.009708737864077669
1731	87	0.017543859649122806
1803	87	0.014084507042253521
1858	87	0.014285714285714285
1915	87	0.001006036217303823
2165	87	0.007142857142857143
2210	87	0.03773584905660377
2241	87	0.018867924528301886
2639	87	0.013513513513513514
2998	87	0.00012353304508956145
3348	87	0.017857142857142856
3415	87	0.014285714285714285
3509	87	0.0136986301369863
3674	87	0.0070921985815602835
3761	87	0.01818181818181818
3818	87	0.009615384615384616
4184	87	0.009174311926605505
4255	87	0.016129032258064516
4335	87	0.011363636363636364
4757	87	0.018518518518518517
4933	87	0.00011384335154826958
5591	87	0.018518518518518517
2233	88	0.015384615384615385
2210	89	0.08333333333333333
