5636	31826
300	0	0.2222222222222222
886	0	0.1111111111111111
1313	0	0.2222222222222222
3534	0	0.2222222222222222
4936	0	0.1111111111111111
5467	0	0.1111111111111111
325	1	0.058823529411764705
361	1	0.058823529411764705
365	1	0.058823529411764705
885	1	0.058823529411764705
1352	1	0.058823529411764705
1510	1	0.058823529411764705
1674	1	0.11764705882352941
1710	1	0.058823529411764705
1731	1	0.058823529411764705
2482	1	0.058823529411764705
3967	1	0.11764705882352941
4084	1	0.058823529411764705
5084	1	0.11764705882352941
5591	1	0.058823529411764705
2233	2	0.125
5058	2	0.875
1419	4	0.8571428571428571
4222	4	0.14285714285714285
128	5	0.125
253	5	0.125
1803	5	0.5
2456	5	0.125
4017	5	0.125
365	6	0.15384615384615385
716	6	0.07692307692307693
1131	6	0.07692307692307693
1352	6	0.07692307692307693
1613	6	0.07692307692307693
1674	6	0.15384615384615385
2382	6	0.07692307692307693
4244	6	0.07692307692307693
4335	6	0.07692307692307693
4429	6	0.07692307692307693
5038	6	0.07692307692307693
2460	7	0.5
3415	7	0.5
3818	8	0.3333333333333333
4335	8	0.6666666666666666
5058	9	1.0
1285	10	0.2
2246	10	0.2
3956	10	0.6
2702	11	0.2
3730	11	0.2
4991	11	0.2
5001	11	0.2
5467	11	0.2
649	12	0.2
1064	12	0.2
2639	12	0.2
4001	12	0.2
5617	12	0.2
3863	13	0.6666666666666666
5135	13	0.3333333333333333
469	14	0.2
885	14	0.2
1352	14	0.2
1731	14	0.2
3967	14	0.2
282	15	0.14285714285714285
1009	15	0.14285714285714285
1334	15	0.14285714285714285
1674	15	0.14285714285714285
4184	15	0.14285714285714285
4522	15	0.14285714285714285
4765	15	0.14285714285714285
1461	16	0.3333333333333333
2003	16	0.1111111111111111
2477	16	0.3333333333333333
2513	16	0.1111111111111111
4293	16	0.1111111111111111
365	17	0.125
794	17	0.125
937	17	0.125
1131	17	0.125
2185	17	0.125
3415	17	0.125
5084	17	0.125
5592	17	0.125
1076	18	0.07142857142857142
2421	18	0.07142857142857142
3885	18	0.10714285714285714
5005	18	0.75
2323	19	0.3333333333333333
3179	19	0.3333333333333333
3396	19	0.3333333333333333
147	20	0.04
300	20	0.08
408	20	0.04
451	20	0.04
634	20	0.04
1337	20	0.04
1706	20	0.04
1716	20	0.04
1948	20	0.04
2771	20	0.04
3121	20	0.04
3189	20	0.04
3646	20	0.04
4018	20	0.12
4208	20	0.04
4293	20	0.04
4570	20	0.04
5194	20	0.04
5566	20	0.12
5589	20	0.04
3877	21	0.2
5467	21	0.8
789	22	0.09090909090909091
2058	22	0.09090909090909091
2059	22	0.09090909090909091
2512	22	0.09090909090909091
2534	22	0.09090909090909091
2941	22	0.36363636363636365
4383	22	0.09090909090909091
5467	22	0.09090909090909091
1915	23	0.2
2210	23	0.2
4163	23	0.2
4335	23	0.4
1735	24	0.5
4522	24	0.5
1131	25	0.2
2950	25	0.2
3967	25	0.2
4918	25	0.2
5516	25	0.2
1419	26	1.0
28	27	1.0
1035	30	0.09090909090909091
3378	30	0.09090909090909091
3493	30	0.2727272727272727
3956	30	0.45454545454545453
5267	30	0.09090909090909091
3509	31	0.25
4335	31	0.25
4985	31	0.25
5327	31	0.25
1419	32	1.0
365	33	0.36363636363636365
913	33	0.045454545454545456
1674	33	0.2727272727272727
1710	33	0.22727272727272727
5167	33	0.09090909090909091
249	34	0.25
634	34	0.25
2331	34	0.25
3248	34	0.25
3946	35	0.5
4457	35	0.5
1419	36	1.0
5115	37	0.5
5196	37	0.25
5559	37	0.25
3982	38	1.0
22	39	0.06666666666666667
461	39	0.06666666666666667
1461	39	0.06666666666666667
2534	39	0.13333333333333333
3101	39	0.06666666666666667
4044	39	0.06666666666666667
4167	39	0.3333333333333333
4518	39	0.2
787	40	0.25
1419	40	0.25
1674	40	0.25
5516	40	0.25
1782	41	0.2
3818	41	0.2
4918	41	0.4
4985	41	0.2
1419	42	1.0
618	43	0.14285714285714285
920	43	0.14285714285714285
1064	43	0.14285714285714285
1070	43	0.14285714285714285
1674	43	0.14285714285714285
4335	43	0.14285714285714285
4918	43	0.14285714285714285
794	44	0.6666666666666666
4335	44	0.3333333333333333
365	46	0.05555555555555555
654	46	0.05555555555555555
794	46	0.05555555555555555
1064	46	0.05555555555555555
1131	46	0.1111111111111111
1240	46	0.05555555555555555
1782	46	0.05555555555555555
2816	46	0.05555555555555555
3509	46	0.05555555555555555
3580	46	0.05555555555555555
3967	46	0.05555555555555555
4184	46	0.05555555555555555
4429	46	0.05555555555555555
4846	46	0.05555555555555555
4890	46	0.05555555555555555
5038	46	0.05555555555555555
5516	46	0.05555555555555555
282	47	0.2
1240	47	0.2
2657	47	0.2
3498	47	0.2
4890	47	0.2
812	48	0.2
1919	48	0.6
3768	48	0.2
2374	49	1.0
469	50	0.1111111111111111
654	50	0.1111111111111111
1064	50	0.1111111111111111
1240	50	0.1111111111111111
3967	50	0.1111111111111111
4163	50	0.1111111111111111
4176	50	0.1111111111111111
5327	50	0.1111111111111111
5516	50	0.1111111111111111
5058	51	1.0
29	52	0.125
515	52	0.125
1171	52	0.125
1349	52	0.125
1419	52	0.125
2998	52	0.25
4484	52	0.125
800	53	0.2
1419	53	0.4
