16246	84217
13779	0	0.0026041666666666665
1050	1	0.027777777777777776
1672	1	0.018292682926829267
3284	1	0.045454545454545456
856	2	0.002386634844868735
1618	2	0.038461538461538464
2164	2	0.011494252873563218
5308	2	0.05263157894736842
9717	2	0.16666666666666666
15747	2	0.013333333333333334
2853	3	0.0625
4022	3	0.017543859649122806
12105	3	0.017543859649122806
14519	3	0.02564102564102564
15468	3	0.02857142857142857
2455	4	0.2
4823	4	0.010416666666666666
12630	4	0.021739130434782608
13035	6	0.625
858	7	0.007874015748031496
10662	7	0.1875
2245	8	0.00023020257826887662
2599	8	0.0010526315789473684
8314	8	0.10526315789473684
13619	8	0.00039635354736424893
13931	8	0.025
1049	10	0.0047169811320754715
12618	10	0.0008064516129032258
1049	11	0.009433962264150943
1112	11	0.030303030303030304
1355	11	0.013157894736842105
2164	11	0.011494252873563218
4823	11	0.020833333333333332
4987	11	0.07142857142857142
7305	11	0.1111111111111111
10571	11	0.07407407407407407
12038	11	0.005208333333333333
13137	11	0.006944444444444444
15700	11	0.006993006993006993
15747	11	0.013333333333333334
5082	12	0.007633587786259542
13610	12	0.08333333333333333
10767	14	0.3333333333333333
2316	16	0.2
3731	16	0.05263157894736842
9101	16	0.1111111111111111
11050	16	0.014084507042253521
11640	16	0.02
11788	16	0.008771929824561403
14619	16	0.16666666666666666
15936	16	0.045454545454545456
3480	17	0.007142857142857143
4022	17	0.05263157894736842
5308	17	0.05263157894736842
6757	17	0.2
12779	17	0.03571428571428571
9045	20	0.125
9970	20	0.5384615384615384
1630	21	0.00847457627118644
15554	21	0.008264462809917356
1049	22	0.0047169811320754715
9586	22	0.041666666666666664
13137	22	0.013888888888888888
13137	25	0.006944444444444444
10	26	0.16666666666666666
1049	26	0.0047169811320754715
6959	26	0.045454545454545456
8938	26	0.005025125628140704
12660	26	0.02857142857142857
8111	27	0.017543859649122806
10993	27	0.00980392156862745
11710	27	0.09310344827586207
5225	28	0.2857142857142857
7245	28	0.008771929824561403
12221	28	0.041666666666666664
12018	29	0.02127659574468085
12182	29	0.007874015748031496
13779	29	0.0026041666666666665
16138	29	0.038834951456310676
4630	30	0.02564102564102564
13137	30	0.006944444444444444
681	31	0.030303030303030304
2545	31	0.01818181818181818
15394	31	0.08333333333333333
15626	31	0.03225806451612903
792	32	0.14285714285714285
1050	32	0.027777777777777776
4373	32	0.041666666666666664
447	33	0.2
1049	33	0.009433962264150943
9717	33	0.16666666666666666
10776	33	0.16666666666666666
13137	33	0.013888888888888888
13557	33	0.2
14282	33	0.02
14604	33	0.030303030303030304
15747	33	0.013333333333333334
3165	34	0.2
3201	34	0.07692307692307693
4022	34	0.017543859649122806
9289	34	0.09090909090909091
13137	34	0.006944444444444444
16140	34	0.058823529411764705
5390	35	0.017543859649122806
13137	35	0.006944444444444444
14375	35	0.023255813953488372
15312	35	0.030303030303030304
2777	36	0.16666666666666666
405	37	0.020833333333333332
366	39	0.1
1829	39	0.3333333333333333
1899	39	0.07692307692307693
13931	39	0.025
5839	40	0.07142857142857142
9823	40	0.16
376	41	0.1111111111111111
13971	42	0.8
14121	42	0.029411764705882353
16138	42	0.04854368932038835
16196	42	0.125
2557	43	0.05263157894736842
2941	43	0.007692307692307693
8063	43	0.17647058823529413
11549	43	0.007352941176470588
872	44	0.010101010101010102
2946	44	0.005076142131979695
6051	44	0.009900990099009901
6734	44	0.1111111111111111
6969	44	0.007462686567164179
7587	44	0.1
8186	44	0.023809523809523808
8322	44	0.029411764705882353
8849	44	0.038461538461538464
9964	44	0.0196078431372549
11378	44	0.002583979328165375
13399	44	0.015873015873015872
1086	45	0.045454545454545456
6556	45	0.0625
8199	45	0.02040816326530612
10	46	0.16666666666666666
831	46	0.08333333333333333
1762	46	0.2
2713	46	0.005434782608695652
3298	46	0.006578947368421052
7213	46	0.14285714285714285
8928	46	0.1
11183	46	0.06666666666666667
505	47	0.06666666666666667
2109	47	0.023809523809523808
2759	47	0.09090909090909091
3211	47	0.07692307692307693
3256	47	0.027777777777777776
3762	47	0.012195121951219513
4379	47	0.037037037037037035
6960	47	0.16666666666666666
9857	47	0.2
11075	47	0.009615384615384616
11423	47	0.027777777777777776
11777	47	0.019417475728155338
13030	47	0.05952380952380952
31	48	0.057971014492753624
3555	48	0.021739130434782608
11453	50	0.16666666666666666
15883	50	0.002004008016032064
191	51	0.2
688	51	0.017241379310344827
1908	51	0.015873015873015872
2844	51	0.03225806451612903
5106	51	0.2
9101	51	0.1111111111111111
10091	51	0.0014947683109118087
16138	51	0.009708737864077669
292	52	0.07272727272727272
9587	52	0.009259259259259259
4575	54	0.03333333333333333
5035	54	0.14285714285714285
8186	54	0.07142857142857142
12921	54	0.09090909090909091
7910	55	0.02
8083	55	0.047619047619047616
10484	56	0.0009827319949459498
5360	57	0.0036363636363636364
6766	57	0.1
11297	57	0.03225806451612903
15764	57	0.045454545454545456
2892	58	0.05
3640	58	0.02
7245	58	0.05263157894736842
7427	58	0.02564102564102564
8547	58	0.034482758620689655
10118	58	0.038461538461538464
15281	58	0.25
1049	60	0.0047169811320754715
1336	60	0.1
1762	60	0.2
2179	60	0.009523809523809525
2316	60	0.2
3298	60	0.006578947368421052
3480	60	0.007142857142857143
3766	60	0.09090909090909091
3903	60	0.1
5308	60	0.05263157894736842
6528	60	0.16666666666666666
8397	60	0.043478260869565216
8817	60	0.16666666666666666
11788	60	0.008771929824561403
12672	60	0.2222222222222222
14604	60	0.030303030303030304
15084	60	0.08333333333333333
15917	60	0.08333333333333333
124	62	0.05263157894736842
12105	62	0.07017543859649122
1135	63	0.2
1538	63	0.1
1674	63	0.16666666666666666
3843	63	0.16666666666666666
7136	63	0.011235955056179775
390	64	0.02564102564102564
858	64	0.007874015748031496
1183	64	0.03571428571428571
1234	64	0.14285714285714285
1249	64	0.0625
3761	64	0.030612244897959183
5310	64	0.022222222222222223
6416	64	0.05555555555555555
7188	64	0.09090909090909091
8687	64	0.16666666666666666
11098	64	0.02
11145	64	0.25
11630	64	0.1111111111111111
12223	64	0.047619047619047616
16071	64	0.18181818181818182
4121	65	0.019230769230769232
5563	65	0.00032351989647363315
10202	65	0.04
15887	65	0.023255813953488372
11768	66	0.058823529411764705
3590	68	0.3333333333333333
16208	68	0.2
495	71	0.04081632653061224
2891	71	0.04878048780487805
3702	71	0.01282051282051282
4069	71	0.002197802197802198
4710	71	0.006578947368421052
6012	71	0.08808290155440414
6969	71	0.014925373134328358
7502	71	0.007575757575757576
8298	71	0.015625
9400	71	0.023809523809523808
12106	71	0.16666666666666666
12599	71	0.0020325203252032522
12968	71	0.003105590062111801
14058	71	0.04
14127	71	0.10344827586206896
15883	71	0.012024048096192385
4022	72	0.05263157894736842
4245	72	0.3333333333333333
16150	72	0.09411764705882353
4175	73	0.009009009009009009
7502	73	0.007575757575757576
8587	73	0.038461538461538464
9454	73	0.014084507042253521
12599	73	0.0020325203252032522
12628	73	0.006622516556291391
13021	73	0.015384615384615385
15883	73	0.002004008016032064
1221	74	0.07142857142857142
2284	74	0.08333333333333333
2520	74	0.003389830508474576
3480	74	0.007142857142857143
5418	74	0.0034482758620689655
6491	74	0.05555555555555555
7026	74	0.0015760441292356187
8397	74	0.043478260869565216
11808	74	0.014084507042253521
13137	74	0.04861111111111111
15420	74	0.0011507479861910242
898	75	0.004761904761904762
3480	75	0.007142857142857143
4303	75	0.0014749262536873156
4390	75	0.022727272727272728
4878	75	0.009708737864077669
6901	75	0.00011915400655347036
10091	75	0.0014947683109118087
10979	75	0.125
12120	75	0.00018674136321195143
12660	75	0.02857142857142857
14453	75	0.005128205128205128
14604	75	0.06060606060606061
15824	75	0.014705882352941176
15911	75	0.05263157894736842
1480	76	0.125
1594	76	0.06666666666666667
1674	76	0.08333333333333333
3355	76	0.09090909090909091
4022	76	0.017543859649122806
4256	76	0.01092896174863388
12052	76	0.1111111111111111
12418	76	0.007936507936507936
12935	76	0.018518518518518517
13880	76	0.16666666666666666
7403	77	0.020833333333333332
7691	77	0.16666666666666666
8834	77	0.125
8849	77	0.038461538461538464
8906	77	0.14285714285714285
10935	77	0.023255813953488372
1374	78	0.1
12672	78	0.1111111111111111
1983	79	0.13636363636363635
3183	79	0.07692307692307693
4304	79	0.024390243902439025
6156	79	0.09803921568627451
11296	79	0.047619047619047616
14837	79	0.038461538461538464
1792	80	0.03125
3321	80	0.02857142857142857
3391	80	0.020833333333333332
4022	80	0.03508771929824561
8430	80	0.125
10113	80	0.01694915254237288
10571	80	0.037037037037037035
11391	80	0.0625
12038	80	0.046875
12394	80	0.1
12672	80	0.2222222222222222
12935	80	0.018518518518518517
13137	80	0.006944444444444444
13387	80	0.013745704467353952
13476	80	0.024390243902439025
14539	80	0.0013761839229337004
15193	80	0.1
13931	81	0.025
5221	82	0.025
8091	82	0.016129032258064516
12919	82	0.1
571	83	0.1111111111111111
9252	83	0.2
15398	83	0.125
2615	84	0.2
2775	84	0.043478260869565216
4022	84	0.05263157894736842
844	85	0.2
1104	85	0.07692307692307693
2446	85	0.05
2851	85	0.030303030303030304
6792	85	0.02666666666666667
9291	85	0.10526315789473684
9958	85	0.1
14489	85	0.14285714285714285
15897	85	0.010526315789473684
3555	87	0.021739130434782608
5563	87	0.00032351989647363315
10349	87	0.001140436624307592
10492	87	0.003968253968253968
13094	87	0.05555555555555555
13476	87	0.024390243902439025
14900	87	0.011764705882352941
415	91	0.125
4630	91	0.02564102564102564
5030	91	0.07692307692307693
5390	91	0.03508771929824561
11017	91	0.012048192771084338
16013	92	0.1111111111111111
5087	93	0.05263157894736842
11213	93	0.21428571428571427
15606	93	0.2
1049	95	0.0047169811320754715
1908	95	0.015873015873015872
15312	95	0.030303030303030304
16146	95	0.00625
198	99	0.02127659574468085
856	99	0.002386634844868735
2407	99	0.07692307692307693
2520	99	0.08135593220338982
2941	99	0.015384615384615385
3107	99	0.022857142857142857
3323	99	0.01639344262295082
3353	99	0.036036036036036036
3409	99	0.006211180124223602
3968	99	0.014925373134328358
4967	99	0.07692307692307693
4975	99	0.016666666666666666
5308	99	0.05263157894736842
5371	99	0.04
7026	99	0.005516154452324665
7872	99	0.023809523809523808
8314	99	0.05263157894736842
8659	99	0.04918032786885246
9047	99	0.013333333333333334
9542	99	0.038461538461538464
9688	99	0.05263157894736842
10225	99	0.02040816326530612
10530	99	0.020833333333333332
10784	99	0.0078125
11505	99	0.04081632653061224
12465	99	0.0033783783783783786
12779	99	0.07142857142857142
13137	99	0.006944444444444444
13476	99	0.0975609756097561
16146	99	0.00625
2599	100	0.0010526315789473684
7427	100	0.02564102564102564
9818	100	0.7142857142857143
13531	100	0.015873015873015872
198	101	0.010638297872340425
5758	101	0.00641025641025641
11808	101	0.014084507042253521
13563	101	0.03333333333333333
10	102	0.16666666666666666
1588	102	0.029411764705882353
1785	102	0.16666666666666666
5079	102	0.16666666666666666
6528	102	0.16666666666666666
6575	102	0.1111111111111111
8938	102	0.005025125628140704
11050	102	0.028169014084507043
15747	102	0.02666666666666667
1393	103	0.05555555555555555
15479	103	0.05
7979	104	0.03571428571428571
11830	104	0.14285714285714285
15917	104	0.16666666666666666
1672	105	0.012195121951219513
2938	105	0.16666666666666666
3102	105	0.05263157894736842
8311	105	0.2727272727272727
8569	105	0.009009009009009009
15984	105	0.0625
4409	106	0.16666666666666666
7427	106	0.02564102564102564
10276	106	0.125
1302	107	0.125
5720	107	0.07692307692307693
9731	107	0.06666666666666667
2379	108	0.1111111111111111
5514	112	0.09090909090909091
8369	112	0.005714285714285714
9768	112	0.14285714285714285
13681	112	0.1
14735	112	0.16666666666666666
1049	114	0.009433962264150943
4823	114	0.041666666666666664
872	116	0.010101010101010102
6969	116	0.007462686567164179
8298	116	0.015625
10609	116	0.010256410256410256
12106	116	0.16666666666666666
12599	116	0.0020325203252032522
15883	116	0.002004008016032064
5711	117	0.1111111111111111
8397	117	0.043478260869565216
11808	117	0.014084507042253521
11205	118	0.3469387755102041
14282	119	0.02
14796	119	0.011363636363636364
2211	120	0.02564102564102564
3391	120	0.020833333333333332
5127	120	0.1
5387	120	0.05555555555555555
6172	120	0.03571428571428571
7026	120	0.0007880220646178094
4049	121	0.125
1049	122	0.009433962264150943
4823	122	0.010416666666666666
9187	122	0.011111111111111112
11788	122	0.008771929824561403
13137	122	0.006944444444444444
5107	123	0.05263157894736842
1049	124	0.0047169811320754715
73	125	0.0625
1447	125	0.013986013986013986
3702	125	0.02564102564102564
5064	125	0.02631578947368421
8587	125	0.038461538461538464
12178	125	0.011235955056179775
12628	125	0.07947019867549669
13021	125	0.015384615384615385
13867	125	0.03431372549019608
15958	125	0.045454545454545456
3590	126	0.2
3859	126	0.16666666666666666
7764	126	0.06666666666666667
10351	126	0.16666666666666666
13094	126	0.05555555555555555
16208	126	0.4
1049	128	0.009433962264150943
1730	128	0.05555555555555555
2316	128	0.2
13137	128	0.006944444444444444
3095	129	0.07142857142857142
4022	129	0.017543859649122806
4415	129	0.03225806451612903
6575	129	0.1111111111111111
8259	129	0.1111111111111111
3590	130	0.06666666666666667
5127	130	0.1
7303	130	0.02564102564102564
688	131	0.017241379310344827
2520	131	0.003389830508474576
2851	131	0.09090909090909091
4368	131	0.047619047619047616
7259	131	0.07142857142857142
9176	131	0.01282051282051282
10280	131	0.1111111111111111
10461	131	0.0015220700152207
16150	131	0.011764705882352941
2164	132	0.011494252873563218
2179	132	0.009523809523809525
3068	132	0.09090909090909091
9047	132	0.0026666666666666666
12494	132	0.2
16	133	0.07692307692307693
1084	133	0.14285714285714285
1112	133	0.030303030303030304
2713	133	0.005434782608695652
4018	133	0.14285714285714285
4022	133	0.017543859649122806
5425	133	0.16666666666666666
5442	133	0.06896551724137931
6575	133	0.4444444444444444
7245	133	0.008771929824561403
9371	133	0.14285714285714285
10226	133	0.018867924528301886
11622	133	0.05555555555555555
11640	133	0.02
4771	134	0.028985507246376812
3323	135	0.01639344262295082
10509	135	0.14285714285714285
3070	136	0.058823529411764705
4175	136	0.009009009009009009
4291	136	0.125
7709	136	0.16666666666666666
12599	136	0.0040650406504065045
15883	136	0.002004008016032064
4022	137	0.05263157894736842
397	138	0.2
1672	138	0.006097560975609756
1049	139	0.0047169811320754715
1402	139	0.058823529411764705
1513	139	0.012658227848101266
3011	139	0.007518796992481203
4022	139	0.017543859649122806
6713	139	0.041666666666666664
9717	139	0.16666666666666666
11680	139	0.125
12660	139	0.02857142857142857
14604	139	0.030303030303030304
1672	141	0.012195121951219513
2640	141	0.05555555555555555
2938	141	0.16666666666666666
4245	141	0.16666666666666666
12018	141	0.02127659574468085
12264	141	0.05555555555555555
14908	141	0.1
16138	141	0.019417475728155338
3419	143	0.18181818181818182
3590	143	0.2
12601	143	0.10526315789473684
1734	144	0.025
3576	144	0.03125
8318	144	0.05555555555555555
11961	144	0.2857142857142857
13667	144	0.0425531914893617
2599	145	0.0010526315789473684
2941	145	0.007692307692307693
2263	146	0.011235955056179775
4823	146	0.010416666666666666
12205	146	0.25
13931	146	0.025
2472	147	0.0031201248049922
4400	147	0.03125
8637	147	0.007462686567164179
9645	147	0.05555555555555555
10459	147	0.017241379310344827
10688	147	0.004830917874396135
10694	147	0.015384615384615385
15891	147	0.125
1792	148	0.03125
2190	148	0.04878048780487805
2713	148	0.005434782608695652
3095	148	0.07142857142857142
9717	148	0.16666666666666666
688	149	0.017241379310344827
921	149	0.08823529411764706
1049	149	0.02358490566037736
2407	149	0.07692307692307693
4022	149	0.017543859649122806
4076	149	0.10526315789473684
4911	149	0.2
6496	149	0.05
6777	149	0.0125
14900	149	0.011764705882352941
10915	150	0.006230529595015576
15872	151	0.029411764705882353
2434	152	0.42105263157894735
3733	153	0.125
2424	155	0.2
8303	155	0.047619047619047616
13387	156	0.003436426116838488
15609	156	0.14285714285714285
831	157	0.08333333333333333
1049	157	0.02358490566037736
4823	157	0.020833333333333332
8516	157	0.006622516556291391
10091	157	0.0014947683109118087
13137	157	0.006944444444444444
14282	157	0.02
1908	158	0.031746031746031744
2720	158	0.043478260869565216
4402	158	0.041666666666666664
7995	158	0.05
4398	159	0.14285714285714285
5569	159	0.0763888888888889
11511	159	0.0021691973969631237
3353	160	0.009009009009009009
7026	160	0.0007880220646178094
10091	160	0.0014947683109118087
10283	160	0.009009009009009009
11549	160	0.007352941176470588
12676	160	0.047619047619047616
12779	160	0.03571428571428571
872	162	0.010101010101010102
11075	162	0.019230769230769232
13021	162	0.03076923076923077
1766	164	0.2
8314	164	0.21052631578947367
10091	164	0.0014947683109118087
13035	164	0.0625
14796	164	0.011363636363636364
15077	164	0.08695652173913043
6289	165	0.02127659574468085
7915	165	0.021739130434782608
12582	165	0.007936507936507936
14621	165	0.005780346820809248
2775	166	0.043478260869565216
16180	166	0.023809523809523808
7110	167	0.02564102564102564
1049	168	0.0047169811320754715
1155	168	0.1
2309	168	0.14285714285714285
2316	168	0.4
2713	168	0.005434782608695652
3298	168	0.006578947368421052
4823	168	0.010416666666666666
5638	168	0.07692307692307693
6528	168	0.16666666666666666
6959	168	0.045454545454545456
10078	168	0.05555555555555555
11050	168	0.014084507042253521
12418	168	0.007936507936507936
15045	168	0.0002931691586045148
15218	168	0.125
16	169	0.07692307692307693
1762	169	0.2
2316	169	0.2
2713	169	0.005434782608695652
14282	169	0.02
2425	170	0.007575757575757576
3980	170	0.015625
6528	170	0.16666666666666666
13137	170	0.006944444444444444
97	171	0.00022256843979523704
442	171	0.043478260869565216
519	171	0.047619047619047616
854	171	0.03571428571428571
1016	171	0.00041135335252982314
1501	171	0.14285714285714285
1662	171	0.14285714285714285
1983	171	0.09090909090909091
2571	171	0.42857142857142855
3210	171	0.038461538461538464
3411	171	0.02564102564102564
3430	171	0.017857142857142856
4692	171	0.008695652173913044
4791	171	0.029411764705882353
4805	171	0.03125
4828	171	0.00021199915200339198
5082	171	0.015267175572519083
5472	171	0.1111111111111111
5614	171	0.05263157894736842
6428	171	0.09090909090909091
6809	171	0.034482758620689655
6901	171	0.00011915400655347036
7203	171	0.00020475020475020476
8107	171	0.002857142857142857
8272	171	0.14285714285714285
8369	171	0.005714285714285714
8936	171	0.028985507246376812
9104	171	6.547930853850184e-05
9187	171	0.022222222222222223
9420	171	0.07142857142857142
10054	171	0.16666666666666666
10082	171	0.034482758620689655
10349	171	0.00016291951775822744
10444	171	0.38461538461538464
10484	171	0.00014039028499227853
10823	171	0.1111111111111111
10966	171	0.00013246787653993907
11296	171	0.047619047619047616
11676	171	0.016666666666666666
11692	171	0.2
12540	171	0.058823529411764705
12762	171	0.0007077140835102619
12935	171	0.07407407407407407
13188	171	0.05555555555555555
14189	171	0.017241379310344827
14301	171	0.005555555555555556
14453	171	0.005128205128205128
14497	171	0.03278688524590164
14536	171	0.01639344262295082
14539	171	0.0001619039909333765
14621	171	0.011560693641618497
14837	171	0.038461538461538464
14900	171	0.011764705882352941
15014	171	0.0625
15045	171	0.0002931691586045148
15102	171	0.007692307692307693
15254	171	0.05555555555555555
15277	171	0.05555555555555555
15420	171	0.004602991944764097
15985	171	0.1111111111111111
1634	172	0.011494252873563218
3291	172	0.06666666666666667
4823	172	0.020833333333333332
10571	172	0.037037037037037035
3634	173	0.02586206896551724
1049	174	0.02358490566037736
4823	174	0.010416666666666666
10091	174	0.0029895366218236174
923	175	0.0045871559633027525
14797	175	0.018867924528301886
831	176	0.08333333333333333
2820	176	0.09090909090909091
6556	176	0.0625
10776	176	0.16666666666666666
11788	176	0.008771929824561403
5682	177	0.7777777777777778
15917	178	0.08333333333333333
191	180	0.2
16013	180	0.1111111111111111
16138	180	0.009708737864077669
764	182	0.125
3034	182	0.058823529411764705
3391	182	0.020833333333333332
8293	182	0.045454545454545456
3323	183	0.11475409836065574
7611	184	0.2
12414	184	0.012195121951219513
11710	185	0.02413793103448276
2557	186	0.05263157894736842
31	187	0.014492753623188406
838	187	0.07142857142857142
1039	187	0.08333333333333333
1049	187	0.0047169811320754715
1451	187	0.034482758620689655
1618	187	0.038461538461538464
1634	187	0.022988505747126436
1684	187	0.125
1810	187	0.043478260869565216
1966	187	0.0004512635379061372
2024	187	0.012048192771084338
2245	187	0.00046040515653775324
2418	187	0.023809523809523808
2599	187	0.002105263157894737
2912	187	0.003125
2941	187	0.007692307692307693
3160	187	0.037037037037037035
3223	187	0.05263157894736842
3226	187	0.024390243902439025
3323	187	0.01639344262295082
3391	187	0.020833333333333332
3555	187	0.021739130434782608
3968	187	0.014925373134328358
4022	187	0.05263157894736842
4235	187	0.03508771929824561
4361	187	0.2
4390	187	0.045454545454545456
4511	187	0.125
4677	187	0.125
4953	187	0.014084507042253521
5308	187	0.05263157894736842
5401	187	0.013888888888888888
5418	187	0.006896551724137931
5563	187	0.00032351989647363315
5614	187	0.05263157894736842
5758	187	0.00641025641025641
5792	187	0.6
6251	187	0.01818181818181818
6298	187	0.2
7008	187	0.01694915254237288
7561	187	0.030303030303030304
8193	187	0.1111111111111111
9094	187	0.003278688524590164
9716	187	0.01098901098901099
9835	187	0.125
9907	187	0.041666666666666664
10272	187	0.07142857142857142
10349	187	0.00016291951775822744
10530	187	0.020833333333333332
11039	187	0.05
11215	187	0.16666666666666666
11808	187	0.014084507042253521
12436	187	0.375
12494	187	0.2
12676	187	0.047619047619047616
12683	187	0.05128205128205128
13073	187	0.006535947712418301
14450	187	0.16666666666666666
14747	187	0.01098901098901099
14796	187	0.011363636363636364
15917	187	0.16666666666666666
9161	188	0.1
9674	188	0.05
2633	189	0.2
3391	189	0.041666666666666664
4022	189	0.017543859649122806
6482	189	0.010638297872340425
10091	189	0.0029895366218236174
10484	189	0.00014039028499227853
10686	189	0.09090909090909091
10688	189	0.004830917874396135
14796	189	0.011363636363636364
1963	190	0.19047619047619047
14900	190	0.03529411764705882
5106	191	0.4
6713	191	0.041666666666666664
1513	192	0.012658227848101266
2596	192	0.00847457627118644
5096	192	0.014925373134328358
5418	192	0.0034482758620689655
7026	192	0.0031520882584712374
9047	192	0.0026666666666666666
10185	192	0.0032679738562091504
11307	192	0.07142857142857142
11962	192	0.017543859649122806
12038	192	0.005208333333333333
14275	192	0.03571428571428571
14454	192	0.015151515151515152
16150	192	0.011764705882352941
435	193	0.04597701149425287
2260	194	0.1
2316	194	0.2
2713	194	0.005434782608695652
3180	194	0.125
7350	194	0.06666666666666667
9993	194	0.03225806451612903
12618	194	0.0008064516129032258
15312	194	0.030303030303030304
385	195	0.125
3034	195	0.058823529411764705
4022	195	0.017543859649122806
4823	195	0.010416666666666666
8488	195	0.034482758620689655
4296	196	0.005917159763313609
14796	196	0.011363636363636364
1049	197	0.0047169811320754715
2013	197	0.030303030303030304
2316	197	0.2
2425	197	0.007575757575757576
2738	197	0.2
2820	197	0.09090909090909091
4823	197	0.010416666666666666
10333	197	0.16666666666666666
12052	197	0.1111111111111111
12668	197	0.013157894736842105
13137	197	0.006944444444444444
740	198	0.015384615384615385
2425	198	0.015151515151515152
2520	198	0.10508474576271186
2802	198	0.02
3107	198	0.05714285714285714
3555	198	0.021739130434782608
4368	198	0.047619047619047616
4975	198	0.03333333333333333
5308	198	0.05263157894736842
7696	198	0.29411764705882354
7721	198	0.019230769230769232
8054	198	0.043478260869565216
10762	198	0.0625
11461	198	0.07407407407407407
11549	198	0.007352941176470588
11962	198	0.017543859649122806
13073	198	0.013071895424836602
13586	198	0.11764705882352941
14449	198	0.006097560975609756
15246	198	0.05555555555555555
15721	198	0.01818181818181818
4334	199	0.014778325123152709
9701	199	0.008264462809917356
10732	199	0.06153846153846154
858	200	0.007874015748031496
2789	200	0.05263157894736842
3228	200	0.012195121951219513
3702	200	0.01282051282051282
5144	200	0.09090909090909091
5582	200	0.017241379310344827
6051	200	0.009900990099009901
7188	200	0.09090909090909091
8496	200	0.2
8587	200	0.07692307692307693
9400	200	0.011904761904761904
11075	200	0.019230769230769232
12178	200	0.011235955056179775
13029	200	0.06666666666666667
15883	200	0.002004008016032064
828	201	0.2
3194	201	0.09230769230769231
3582	201	0.125
7725	201	0.14285714285714285
9716	201	0.01098901098901099
10113	201	0.01694915254237288
11830	201	0.14285714285714285
2866	202	0.05
2941	203	0.007692307692307693
4076	203	0.05263157894736842
10202	203	0.08
10349	203	0.00016291951775822744
12661	203	0.14285714285714285
15863	203	0.058823529411764705
1015	204	0.041666666666666664
7451	204	0.058823529411764705
12401	204	0.03225806451612903
4186	205	0.043478260869565216
5113	205	0.045454545454545456
7678	205	0.013513513513513514
10588	205	0.08333333333333333
60	206	0.037037037037037035
2820	206	0.09090909090909091
3323	206	0.01639344262295082
3980	206	0.015625
4235	206	0.017543859649122806
10784	206	0.00390625
