16246	84217
13779	0	0.002577319587628866
1050	1	0.023809523809523808
1672	1	0.017857142857142856
3284	1	0.03571428571428571
856	2	0.002352941176470588
1618	2	0.03125
2164	2	0.010752688172043012
5308	2	0.04
9717	2	0.08333333333333333
15747	2	0.012345679012345678
2853	3	0.05
4022	3	0.01639344262295082
12105	3	0.01639344262295082
14519	3	0.023255813953488372
15468	3	0.02564102564102564
2455	4	0.1
4823	4	0.009900990099009901
12630	4	0.0196078431372549
13035	6	0.625
858	7	0.007518796992481203
10662	7	0.15
2245	8	0.00022993791676247414
2599	8	0.0010471204188481676
8314	8	0.08695652173913043
13619	8	0.00039556962025316455
13931	8	0.022222222222222223
1049	10	0.004608294930875576
12618	10	0.0008032128514056225
1049	11	0.008849557522123894
1112	11	0.020833333333333332
1355	11	0.01098901098901099
2164	11	0.00980392156862745
4823	11	0.01818181818181818
4987	11	0.034482758620689655
7305	11	0.041666666666666664
10571	11	0.04878048780487805
12038	11	0.004830917874396135
13137	11	0.006289308176100629
15700	11	0.006329113924050633
15747	11	0.011111111111111112
5082	12	0.006896551724137931
13610	12	0.038461538461538464
10767	14	0.2222222222222222
2316	16	0.058823529411764705
3731	16	0.03225806451612903
9101	16	0.047619047619047616
11050	16	0.012048192771084338
11640	16	0.016129032258064516
11788	16	0.007936507936507936
14619	16	0.05555555555555555
15936	16	0.029411764705882353
3480	17	0.006802721088435374
4022	17	0.04838709677419355
5308	17	0.038461538461538464
6757	17	0.08333333333333333
12779	17	0.02857142857142857
9045	20	0.0625
9970	20	0.4666666666666667
1630	21	0.00819672131147541
15554	21	0.008
1049	22	0.004629629629629629
9586	22	0.03571428571428571
13137	22	0.013605442176870748
13137	25	0.006711409395973154
10	26	0.08333333333333333
1049	26	0.0045871559633027525
6959	26	0.03571428571428571
8938	26	0.004878048780487805
12660	26	0.024390243902439025
8111	27	0.011627906976744186
10993	27	0.007633587786259542
11710	27	0.09215017064846416
5225	28	0.15384615384615385
7245	28	0.008264462809917356
12221	28	0.03225806451612903
12018	29	0.018518518518518517
12182	29	0.007462686567164179
13779	29	0.0025575447570332483
16138	29	0.037383177570093455
4630	30	0.022727272727272728
13137	30	0.006711409395973154
681	31	0.009900990099009901
2545	31	0.008130081300813009
15394	31	0.0125
15626	31	0.010101010101010102
792	32	0.043478260869565216
1050	32	0.019230769230769232
4373	32	0.025
447	33	0.0625
1049	33	0.009009009009009009
9717	33	0.058823529411764705
10776	33	0.058823529411764705
13137	33	0.012987012987012988
13557	33	0.0625
14282	33	0.01639344262295082
14604	33	0.022727272727272728
15747	33	0.011627906976744186
3165	34	0.07142857142857142
3201	34	0.045454545454545456
4022	34	0.015151515151515152
9289	34	0.05
13137	34	0.006535947712418301
16140	34	0.038461538461538464
5390	35	0.01639344262295082
13137	35	0.006756756756756757
14375	35	0.02127659574468085
15312	35	0.02702702702702703
2777	36	0.1
405	37	0.017241379310344827
366	39	0.0625
1829	39	0.18181818181818182
1899	39	0.05263157894736842
13931	39	0.021739130434782608
5839	40	0.05555555555555555
9823	40	0.15384615384615385
376	41	0.0625
13971	42	0.2857142857142857
14121	42	0.021739130434782608
16138	42	0.04504504504504504
16196	42	0.05
2557	43	0.04
2941	43	0.007352941176470588
8063	43	0.14285714285714285
11549	43	0.007042253521126761
872	44	0.009009009009009009
2946	44	0.004784688995215311
6051	44	0.008849557522123894
6734	44	0.047619047619047616
6969	44	0.00684931506849315
7587	44	0.045454545454545456
8186	44	0.018518518518518517
8322	44	0.021739130434782608
8849	44	0.02631578947368421
9964	44	0.015873015873015872
11378	44	0.002506265664160401
13399	44	0.013333333333333334
1086	45	0.038461538461538464
