16246	84217
13779	0	1.0
1050	1	0.2
1672	1	0.6
3284	1	0.2
856	2	0.16666666666666666
1618	2	0.16666666666666666
2164	2	0.16666666666666666
5308	2	0.16666666666666666
9717	2	0.16666666666666666
15747	2	0.16666666666666666
2853	3	0.2
4022	3	0.2
12105	3	0.2
14519	3	0.2
15468	3	0.2
2455	4	0.3333333333333333
4823	4	0.3333333333333333
12630	4	0.3333333333333333
13035	6	1.0
858	7	0.25
10662	7	0.75
2245	8	0.16666666666666666
2599	8	0.16666666666666666
8314	8	0.3333333333333333
13619	8	0.16666666666666666
13931	8	0.16666666666666666
1049	10	0.5
12618	10	0.5
1049	11	0.13333333333333333
1112	11	0.06666666666666667
1355	11	0.06666666666666667
2164	11	0.06666666666666667
4823	11	0.13333333333333333
4987	11	0.06666666666666667
7305	11	0.06666666666666667
10571	11	0.13333333333333333
12038	11	0.06666666666666667
13137	11	0.06666666666666667
15700	11	0.06666666666666667
15747	11	0.06666666666666667
5082	12	0.5
13610	12	0.5
10767	14	1.0
2316	16	0.125
3731	16	0.125
9101	16	0.125
11050	16	0.125
11640	16	0.125
11788	16	0.125
14619	16	0.125
15936	16	0.125
3480	17	0.14285714285714285
4022	17	0.42857142857142855
5308	17	0.14285714285714285
6757	17	0.14285714285714285
12779	17	0.14285714285714285
9045	20	0.125
9970	20	0.875
1630	21	0.5
15554	21	0.5
1049	22	0.25
9586	22	0.25
13137	22	0.5
13137	25	1.0
10	26	0.2
1049	26	0.2
6959	26	0.2
8938	26	0.2
12660	26	0.2
8111	27	0.034482758620689655
10993	27	0.034482758620689655
11710	27	0.9310344827586207
5225	28	0.5
7245	28	0.25
12221	28	0.25
12018	29	0.14285714285714285
12182	29	0.14285714285714285
13779	29	0.14285714285714285
16138	29	0.5714285714285714
4630	30	0.5
13137	30	0.5
681	31	0.25
2545	31	0.25
15394	31	0.25
15626	31	0.25
792	32	0.3333333333333333
1050	32	0.3333333333333333
4373	32	0.3333333333333333
447	33	0.09090909090909091
1049	33	0.18181818181818182
9717	33	0.09090909090909091
10776	33	0.09090909090909091
13137	33	0.18181818181818182
13557	33	0.09090909090909091
14282	33	0.09090909090909091
14604	33	0.09090909090909091
15747	33	0.09090909090909091
3165	34	0.16666666666666666
3201	34	0.16666666666666666
4022	34	0.16666666666666666
9289	34	0.16666666666666666
13137	34	0.16666666666666666
16140	34	0.16666666666666666
5390	35	0.25
13137	35	0.25
14375	35	0.25
15312	35	0.25
2777	36	1.0
405	37	1.0
366	39	0.2
1829	39	0.4
1899	39	0.2
13931	39	0.2
5839	40	0.2
9823	40	0.8
